episode_id,start_frame,end_frame,success
0,372,546,1
1,290,352,1
2,316,380,1
3,261,384,1
4,283,419,1
5,288,427,1
6,280,385,1
7,271,375,1
8,278,372,1
9,282,349,1
10,304,372,1
11,272,428,1
12,274,342,1
13,278,427,1
14,258,356,1
15,246,360,1
16,289,356,1
17,244,383,1
18,257,437,1
19,264,343,1
20,274,375,1
21,405,555,1
22,292,373,1
23,280,353,1
24,302,381,1
25,278,371,1
26,290,430,1
27,264,342,1
28,317,392,1
29,304,404,1
30,333,403,1
31,287,335,1
32,305,356,1
33,277,431,1
34,269,332,1
35,250,301,1
36,259,369,1
37,279,403,1
38,264,332,1
39,307,413,1
40,289,370,1
41,325,426,1
42,291,415,1
43,322,410,1
44,304,379,1
45,321,382,1
46,330,480,1
47,335,515,1
48,308,479,1
49,278,347,1
50,256,324,1
51,297,375,1
52,301,371,1
53,275,332,1
54,251,336,1
55,284,424,1
56,257,327,1
57,239,353,1
58,315,385,1
59,276,367,1
