episode_id,start_frame,end_frame,success
0,348,541,1
1,270,344,1
2,274,375,1
3,255,373,1
4,268,418,1
5,287,422,1
6,268,376,1
7,262,365,1
8,247,365,1
9,264,343,1
10,257,365,1
11,261,425,1
12,258,337,1
13,248,427,1
14,230,353,1
15,224,353,1
16,254,350,1
17,229,377,1
18,221,432,1
19,246,338,1
20,244,370,1
21,369,552,1
22,251,366,1
23,254,346,1
24,279,381,1
25,259,371,1
26,245,423,1
27,241,337,1
28,276,384,1
29,263,399,1
30,272,403,1
31,257,327,1
32,259,352,1
33,253,429,1
34,226,331,1
35,214,303,1
36,244,364,1
37,250,403,1
38,235,330,1
39,284,411,1
40,253,362,1
41,288,419,1
42,255,410,1
43,258,403,1
44,259,372,1
45,246,376,1
46,296,478,1
47,295,513,1
48,279,475,1
49,230,349,1
50,217,318,1
51,272,370,1
52,262,365,1
53,249,336,1
54,217,332,1
55,253,418,1
56,209,325,1
57,202,351,1
58,244,381,1
59,245,368,1
60,214,304,1
61,263,368,1
62,234,360,1
63,274,387,1
64,248,404,1
65,240,334,1
66,243,331,1
67,250,332,1
68,216,405,1
69,233,341,1
70,233,312,1
71,213,305,1
72,208,289,1
73,226,324,1
74,209,305,1
75,201,289,1
76,184,283,1
77,207,307,1
78,202,284,1
79,204,290,1
80,197,262,1
81,199,256,1
82,227,352,1
83,205,357,1
84,228,356,1
85,214,344,1
86,219,340,1
87,208,364,1
88,189,335,1
89,240,361,1
90,205,349,1
91,210,315,1
92,192,274,1
93,212,368,1
94,218,347,1
95,208,290,1
96,212,290,1
97,183,314,1
98,201,332,1
99,196,375,1
100,215,387,1
101,209,317,1
102,171,215,1
103,219,305,1
104,224,316,1
105,239,324,1
106,218,316,1
107,228,328,1
108,259,336,1
109,208,314,1
110,198,315,1
111,193,308,1
112,262,372,1
113,240,326,1
114,274,384,1
115,235,397,1
116,262,356,1
117,247,315,1
118,215,292,1
119,238,332,1
120,210,277,1
121,201,285,1
122,232,398,1
123,219,332,1
124,195,295,1
125,173,295,1
126,224,317,1
127,233,343,1
128,210,320,1
129,227,317,1
